year,month,day,hour,minute,second,event
1991,4,19,0,59,55,521
1991,4,19,3,13,13,652
1991,4,19,3,20,10,45669
1991,4,19,4,42,23,412
1991,4,19,4,50,38,599
1991,4,19,4,54,10,725
1991,4,19,4,59,4,486
1991,4,19,8,49,56,915
1991,4,19,19,41,12,1002
1991,4,20,2,18,16,776
1991,4,20,2,36,4,580
1991,4,20,2,40,26,1294
1991,4,20,5,53,39,1188
1991,4,20,8,49,11,12417
1991,4,20,10,16,56,27360
1991,4,22,0,48,49,4158
1991,4,22,7,38,46,1352
1991,4,25,2,0,45,490
1991,4,25,5,37,32,373
1991,4,26,16,12,40,413
1991,4,27,17,14,41,423
1991,4,28,0,19,46,299
1991,4,28,5,0,1,401
1991,4,28,8,28,59,299
1991,4,29,2,48,31,315
1991,4,29,9,25,30,473
1991,4,30,2,40,9,3791
1991,4,30,7,24,23,1201
1991,4,30,11,19,42,1879
1991,5,1,0,12,52,582
1991,5,1,3,26,31,397
1991,5,1,5,8,45,139
1991,5,1,5,12,34,292
1991,5,3,7,11,40,2145
1991,5,3,22,33,31,600
1991,5,4,2,49,36,217
1991,5,4,6,2,25,219
1991,5,4,6,23,1,171
1991,5,4,18,14,20,27652
1991,5,4,23,15,2,212
1991,5,5,11,39,44,381
1991,5,5,15,14,25,401
1991,5,5,16,36,31,281
1991,5,5,20,53,22,236
1991,5,5,20,59,11,254
1991,5,6,3,19,57,472
1991,5,6,3,22,45,603
1991,5,6,4,34,26,635
1991,5,6,6,22,58,694
1991,5,6,9,40,14,334
1991,5,6,9,53,21,496
1991,5,6,14,28,0,1968
1991,5,6,16,11,30,8592
1991,5,6,16,59,32,23259
1991,5,6,17,32,30,577
1991,5,6,20,20,52,881
1991,5,6,20,35,14,458
1991,5,6,21,52,20,634
1991,5,6,23,27,45,12536
1991,5,6,23,55,5,1425
1991,5,6,0,1,21,5986
1991,5,7,0,56,9,1300
1991,5,7,2,18,20,795
1991,5,7,2,32,26,442
1991,5,7,2,53,27,1319
1991,5,7,5,52,50,375
1991,5,7,7,15,44,1385
1991,5,7,7,40,34,10811
1991,5,7,9,22,14,1730
1991,5,7,10,35,43,48285
1991,5,7,13,30,45,2604
1991,5,7,14,45,51,4895
1991,5,7,15,28,37,663
1991,5,7,19,41,7,23748
1991,5,7,22,38,0,33610
1991,5,7,22,39,21,1494
1991,5,7,22,40,43,1151
1991,5,7,22,45,2,590
1991,5,8,0,15,20,15368
1991,5,8,0,55,38,259
1991,5,8,1,39,13,16210
1991,5,8,1,43,47,912
1991,5,8,2,7,22,1990
1991,5,8,2,15,19,1858
1991,5,8,2,16,41,1419
1991,5,8,2,32,8,639
1991,5,8,3,19,34,894
1991,5,8,3,22,42,778
1991,5,8,3,27,50,1704
1991,5,8,3,30,11,2490
1991,5,8,6,44,48,755
1991,5,8,7,13,34,733
1991,5,8,8,12,59,377
1991,5,8,8,20,19,1233
1991,5,8,9,43,36,1058
1991,5,8,9,45,28,467
1991,5,8,13,12,46,1963
1991,5,8,15,45,50,1076
1991,5,8,22,27,29,729
1991,5,8,23,56,57,310
1991,5,9,0,58,50,679
1991,5,9,1,20,46,865
1991,5,9,3,11,40,1048
1991,5,9,3,22,32,1623
1991,5,9,4,16,3,780
1991,5,9,7,29,57,373
1991,5,9,7,31,43,840
1991,5,9,8,1,30,509
1991,5,9,9,7,10,7639
1991,5,9,10,53,49,15351
1991,5,9,11,58,24,2081
1991,5,9,12,8,22,77929
1991,5,9,12,13,14,780
1991,5,9,12,28,27,940
1991,5,9,12,33,16,15634
1991,5,9,13,33,20,482
1991,5,9,13,58,37,462
1991,5,9,14,4,24,533
1991,5,9,15,10,25,48425
1991,5,9,15,20,46,29527
1991,5,9,16,37,17,447
1991,5,9,16,55,1,1007
1991,5,9,17,27,50,4301
1991,5,9,19,43,20,728
1991,5,9,22,6,16,2150
1991,5,10,0,27,49,591
1991,5,10,2,4,8,334
1991,5,10,5,23,31,426
1991,5,10,5,48,28,810
1991,5,10,10,24,57,624
1991,5,10,13,33,55,521
1991,5,10,16,3,35,1862
1991,5,10,17,31,1,3289
1991,5,10,17,33,0,508
1991,5,10,18,3,40,576
1991,5,10,18,12,51,921
1991,5,10,19,10,25,14410
1991,5,10,19,19,38,1066
1991,5,10,19,45,4,2990
1991,5,11,1,35,47,333
1991,5,11,2,3,33,387
1991,5,11,2,4,18,655
1991,5,11,2,10,12,421
1991,5,11,5,15,20,594
1991,5,11,6,39,54,2888
1991,5,11,8,10,16,3279
1991,5,11,8,23,26,1248
1991,5,11,9,33,3,7119
1991,5,11,14,16,39,659
1991,5,11,14,37,52,451
1991,5,11,15,19,10,6221
1991,5,11,16,12,17,582
1991,5,11,18,26,51,495
1991,5,11,18,51,10,7946
1991,5,11,20,0,53,3667
1991,5,11,20,20,14,677
1991,5,11,20,34,43,3163
1991,5,11,21,37,43,810
1991,5,11,23,15,28,1524
